MatchId,Patch,QueueType,RankFk,GameDuration
NA1_5420362862,15.23.728.3286,CLASSIC,0,2433
EUW1_7603623274,15.22.724.5161,ARAM,5,1576
EUW1_7582679167,15.21.721.8442,CLASSIC,1,183
KR_7971919341,15.24.733.5841,CLASSIC,0,1357
NA1_5437458105,15.24.732.64,CLASSIC,7,1355
EUW1_7588959075,15.21.721.8442,CLASSIC,5,1371
KR_8032458825,16.1.737.4870,ARAM,0,1099
EUW1_7589550139,15.21.721.8442,CLASSIC,5,1914
NA1_5419354341,15.23.728.3286,CLASSIC,7,2196
KR_8011566973,15.24.734.7485,ARAM,0,225
EUW1_7613400660,15.23.728.3286,ARAM,0,1145
EUW1_7570475052,15.20.719.545,CLASSIC,8,1775
EUW1_7612181521,15.23.726.9074,CLASSIC,4,2125
EUW1_7607762466,15.22.724.5161,CHERRY,7,1478
KR_8039219026,16.1.737.4870,CLASSIC,0,1118
EUW1_7608615633,15.22.724.5161,CLASSIC,3,2167
NA1_5417067392,15.23.726.9074,CHERRY,4,1522
NA1_5426715867,15.23.728.3286,CLASSIC,2,2365
KR_8038026525,16.1.737.4870,CLASSIC,0,914
NA1_5424909247,15.23.728.3286,CLASSIC,8,1199
KR_8031416558,16.1.737.4870,CLASSIC,3,1792
EUW1_7613242814,15.23.728.3286,CLASSIC,5,1696
KR_7969793339,15.24.733.5841,CLASSIC,0,1670
KR_7995846055,15.24.734.7485,ARAM,0,1152
EUW1_7569554666,15.20.719.545,ARAM,0,1097
EUW1_7578097824,15.21.720.925,CLASSIC,0,1925
EUW1_7607658642,15.22.724.5161,ARAM,1,888
EUW1_7609603130,15.23.726.9074,CLASSIC,4,1531
NA1_5421476873,15.23.728.3286,CLASSIC,5,1446
NA1_5453318857,15.24.734.7485,CLASSIC,4,1981
EUW1_7602940785,15.22.724.5161,CLASSIC,7,910
NA1_5452831890,15.24.734.7485,CHERRY,2,1286
NA1_5421825107,15.23.728.3286,CLASSIC,8,1556
NA1_5426746471,15.23.728.3286,SWIFTPLAY,0,1268
NA1_5423556647,15.23.728.3286,CLASSIC,3,2261
KR_7958936431,15.24.732.64,CLASSIC,0,1478
EUW1_7563706311,15.20.717.2831,CLASSIC,7,1415
NA1_5437025060,15.24.732.64,CLASSIC,8,1653
NA1_5418377766,15.23.726.9074,CLASSIC,6,1098
EUW1_7573615916,15.20.719.545,CLASSIC,8,1126
EUW1_7098442862,14.17.614.2229,CHERRY,0,1390
NA1_5438250363,15.24.732.64,CLASSIC,8,1974
NA1_5450619405,15.24.734.7485,CLASSIC,7,1661
EUW1_7571263977,15.20.719.545,CLASSIC,8,1649
EUW1_7382377142,15.8.675.10,CHERRY,0,1504
KR_8018653697,16.1.737.1049,CLASSIC,6,2422
NA1_5427448764,15.24.730.7955,CLASSIC,6,1647
EUW1_7602732224,15.22.724.5161,CLASSIC,9,2088
KR_7972548974,15.24.733.6673,URF,0,1573
EUW1_7608524648,15.22.724.5161,CLASSIC,5,1730
KR_8029832127,16.1.737.4870,CLASSIC,4,1466
KR_8027724269,16.1.737.4870,ARAM,0,494
NA1_5422167088,15.23.728.3286,CLASSIC,9,2531
NA1_5425184670,15.23.728.3286,CLASSIC,5,1462
NA1_5438501814,15.24.732.64,CLASSIC,4,124
KR_7972710543,15.24.733.6673,CLASSIC,0,1818
NA1_5455461583,15.24.734.7485,CHERRY,3,1568
KR_7940998561,15.23.728.3286,ARAM,0,513
KR_8038560773,16.1.737.4870,CLASSIC,0,2165
