SummonerMatchId,SummonerFk,MatchFk,ChampionFk
130245,4560,EUW1_7600739641,53
130254,4560,EUW1_7595075040,42
130255,4560,EUW1_7595041151,115
130257,4560,EUW1_7594975759,112
130260,4559,EUW1_7602794214,98
130268,4559,EUW1_7598076841,112
130273,4559,EUW1_7596146287,58
130278,4559,EUW1_7594951337,54
130279,4578,EUW1_7607213213,245
130285,4578,EUW1_7606996763,63
130286,4578,EUW1_7606958782,7
130289,4578,EUW1_7539697837,21
130290,4578,EUW1_7539665507,901
130294,4578,EUW1_7537922005,800
130319,4579,EUW1_7607752602,107
130329,4579,EUW1_7603477448,246
130331,4579,EUW1_7603394279,107
130337,4579,EUW1_7598569399,246
130338,4579,EUW1_7597865916,80
130361,4580,EUW1_7601148779,91
130365,4580,EUW1_7600796707,115
130367,4580,EUW1_7600768624,121
130405,4581,EUW1_7605934221,101
130406,4581,EUW1_7605889712,7
130408,4581,EUW1_7605809725,86
130409,4581,EUW1_7605525425,86
130410,4581,EUW1_7604726044,131
130412,4581,EUW1_7604660047,223
130413,4581,EUW1_7604615972,86
130446,4582,EUW1_7604030291,19
130454,4582,EUW1_7600837392,19
130458,4582,EUW1_7599835296,67
130479,4583,EUW1_7604942608,14
130480,4583,EUW1_7604878408,201
130490,4584,EUW1_7607388415,79
130494,4584,EUW1_7606641682,268
130498,4584,EUW1_7606440212,268
130500,4584,EUW1_7606208291,79
130531,4585,EUW1_7606078785,19
130533,4585,EUW1_7604785294,11
130539,4585,EUW1_7602369425,141
130542,4585,EUW1_7601170455,131
130569,4586,EUW1_7603610999,43
130574,4586,EUW1_7603417185,55
130578,4586,EUW1_7601740224,267
130580,4586,EUW1_7601654328,887
130582,4586,EUW1_7601497290,902
130608,4587,EUW1_7606987382,54
130614,4587,EUW1_7604247921,82
130616,4587,EUW1_7603522344,51
130621,4587,EUW1_7603280077,43
130648,4588,EUW1_7605940167,9
130655,4588,EUW1_7603055223,9
130656,4588,EUW1_7602616447,9
130661,4588,EUW1_7601958701,18
130695,4589,EUW1_7604832913,901
130698,4589,EUW1_7604631283,800
130734,4590,EUW1_7606809828,18
130739,4590,EUW1_7604361203,10
130765,4591,EUW1_7605595106,106
130769,4591,EUW1_7601196946,141
130770,4591,EUW1_7600373704,141
130772,4591,EUW1_7600232593,234
130773,4591,EUW1_7599014050,141
130774,4591,EUW1_7598960357,238
130808,4592,EUW1_7606357590,234
130818,4592,EUW1_7605202229,234
130819,4592,EUW1_7605061664,234
130846,4593,EUW1_7606814971,134
130852,4593,EUW1_7605332943,103
130855,4593,EUW1_7599419130,134
130862,4593,EUW1_7597150088,2
130886,4594,EUW1_7605788471,64
130890,4594,EUW1_7604938935,799
130892,4594,EUW1_7603679082,799
130897,4594,EUW1_7603363111,80
130898,4594,EUW1_7602450232,517
130902,4594,EUW1_7601013889,711
130928,4595,EUW1_7603077228,141
130930,4595,EUW1_7600012553,202
130933,4595,EUW1_7597154848,141
130936,4595,EUW1_7596120392,141
130966,4596,EUW1_7606611643,234
130979,4596,EUW1_7601001000,221
131007,4597,EUW1_7607815046,79
131012,4597,EUW1_7607119476,33
131016,4597,EUW1_7606826085,57
131018,4597,EUW1_7606809050,516
131021,4597,EUW1_7606797973,163
131022,4597,EUW1_7606790020,75
131043,4598,EUW1_7607559332,99
131047,4598,EUW1_7607011650,1
131054,4598,EUW1_7606824718,127
131055,4598,EUW1_7606498280,63
131060,4598,EUW1_7604336360,59
131061,4598,EUW1_7604276548,32
131084,4599,EUW1_7607586166,901
131087,4599,EUW1_7605553929,105
131095,4599,EUW1_7590002438,64
131099,4599,EUW1_7589203734,105
131101,4599,EUW1_7587046216,222
131123,4600,EUW1_7607256942,22
131127,4600,EUW1_7605991106,56
131133,4600,EUW1_7604131118,22
131137,4600,EUW1_7603893667,27
131138,4600,EUW1_7603330995,157
131164,4601,EUW1_7606419299,11
131171,4601,EUW1_7603150401,51
131175,4601,EUW1_7602383611,238
131176,4601,EUW1_7602334601,82
131179,4601,EUW1_7601694046,117
131205,4602,EUW1_7606164558,22
131206,4602,EUW1_7606113423,9
